ATTO PRIMO,ACT ONE
non c'è alcuna novità!             T,here's nothing new in it!
,
Recitativo                         R,ecitative
,
IL CONTE:                          C,OUNT:
"Basilio, in traccia tosto          B","asilio, go quickly"
di Figaro volate:                  a,nd find Figaro:
[addita Cherubino che non          [,"indicates Cherubino,"
si muove di loco]                  w,ho hasn't moved]
io vo' ch'ei veda ...              I, want him to see ...
,
SUSANNA:                           S,USANNA:
Ed io che senta; andate!           A,nd I want him to hear; go!
,
IL CONTE:                          C,OUNT:
Restate: che baldanza!             [,to Basilio]  Wait: [to Susanna] how brazen!
E quale scusa                      A,nd what excuse do you have
se la colpa è evidente?            w,ith your guilt so clear?
,
,
SUSANNA:                           S,USANNA:
Non ha d'uopo di scusa un'innocente., Innocence needs no excuse.
,
IL CONTE:                          C,OUNT:
Ma costui quando venne?            B,ut when did he come in?
,
SUSANNA:                           S,USANNA:
Egli era meco                      H,e was with me
"quando voi qui giungeste,          w","hen you came in here,"
e mi chiedea                       a,sking me
d'impegnar la padrona              t,o plead with the Countess
a intercedergli grazia.            t,o intercede on his behalf.
Il vostro arrivo                   Y,our arrival
"in scompiglio lo pose,             t","hrew him into a panic,"
ed allor in quel loco si nascose.  a,nd he hid himself there.
,
IL CONTE:                          C,OUNT:
Ma s'io stesso m'assisi            B,ut I sat right there myself
quando in camera entrai!           w,hen I came into the room!
,
CHERUBINO:                         C,HERUBINO:
Ed allor di dietro io mi celai.    I, was hiding behind the chair then.
,
IL CONTE:                          C,OUNT:
E quando io là mi posi?            A,nd when I went there myself?
,
CHERUBINO:                         C,HERUBINO:
"Allor io pian mi volsi,            T","hen I crept around very quietly,"
e qui m'ascosi.                    a,nd hid here.
,
IL CONTE:                          C,OUNT:
[a Susanna]                        [,to Susanna]
"Oh ciel, dunque ha sentito         O","h heavens, then he has heard"
tutto quello ch'io ti dicea!       e,verything I said to you!
,
CHERUBINO:                         C,HERUBINO:
Feci per non sentir quanto potea.  I, tried my best not to listen?
,
IL CONTE:                          C,OUNT:
Ah perfidia!                       A,"h, scoundrel!"
,
BASILIO:                           B,ASILIO:
Frenatevi: vien gente!             H,ush: someone's coming!
,
IL CONTE:                          C,OUNT:
[tira Cherubino giù dalla sedia]   [,pulls Cherubino from the chair]
"E voi restate qui, picciol serpente!"," And you stay right there, you little snake!"
,
SCENA VIII                         S,CENE VIII
Recitativo                         R,ecitative
,
IL CONTE:                          C,OUNT:
[a Figaro]                         [,to Figaro]
Cos'è questa commedia?             W,hat is this play-acting about?
,
FIGARO:                            F,IGARO:
[piano a Susanna]                  [,aside to Susanna]
Eccoci in danza:                   H,ere we for the dance:
"Secondami, cor mio.                P","lay up to me, my love."
,
SUSANNA:                           S,USANNA:
[piano a Figaro]                   [,aside to Figaro]
(Non ci ho speranza.)              I,'ve lost hope.
,
FIGARO:                            F,IGARO:
"Signor, non isdegnate              M","y lord, don't refuse"
questo del nostro affetto          t,"his, our affectionate"
meritato tributo:                  a,nd well-deserved tribute:
,
IL CONTE:                          C,OUNT:
Cosa si brama?                     W,hat do you want?
,
FIGARO:                            F,IGARO:
Le nostre nozze 			     Our wedding,
si son già stabilite.              i,s already appointed.
Or a voi tocca                     N,ow we ask you
costei che un vostro dono          t,o place this white veil
"illibata serbò, coprir di questa,  a","s a symbol of purity, on the head of the"
,maiden
"simbolo d'onestà, candida vesta.   w",ho owes her virtue to you.
,
TUTTI:                             A,LL:
"Evviva, evviva, evviva!            E","vviva, evviva, evviva!"
,
IL CONTE:                          C,OUNT:
[a Figaro e Susanna]               [,to Figaro and Susanna]
A voi prometto                     I, promise you
compier la ceremonia:              t,hat your ceremony will be performed:
chiedo sol breve indugio;          I, ask but a little time;
io voglio in faccia                I, want to fetch as witness
"de' miei più fidi,                 m","y most faithful subjects,"
e con più ricca pompa              a,nd with all appropriate pomp
rendervi appien felici.            I, will make you happy.
(Marcellina si trovi.)             (,Marcellina must be found.)
"Andate, amici.                     G","o now, my friends."
,
CHERUBINO:                         C,HERUBINO:
[s'inginocchia]                    [,kneeling]
"Perdono, mio signor ...            F","orgive me, my lord ..."
,
IL CONTE:                          C,OUNT:
Nol meritate.                      Y,ou don't deserve it.
,
SUSANNA:                           S,USANNA:
Egli è ancora fanciullo!           H,e's still a child!
,
IL CONTE:                          C,OUNT:
Men di quel che tu credi.          L,ess so than you think.
,
CHERUBINO:                         C,HERUBINO:
"È ver, mancai;                     I","t's true, I've wronged you;"
ma dal mio labbro alfine ...       b,ut if ever I speak a word of -
,
IL CONTE:                          C,OUNT: [quickly]
Ben ben; io vi perdono.            W,"ell, well; I pardon you."
Anzi farò di più;                  I,"n fact, I'll do even more;"
vacante è un posto                 t,here's a spare place
d'uffizial nel reggimento mio;     f,or an officer in my regiment;
io scelgo voi;                     I, give it to you;
partite tosto: addio.              l,eave immediately: goodbye.
"[Il Conte vuol partire,            [","The Count goes to leave,"
Susanna e Figaro l'arrestano.]     S,usanna and Figaro stop him.]
,
SUSANNA & FIGARO:                  S,USANNA & FIGARO:
"Ah, fin domani sol ...             A","h, just 'til tomorrow ..."
,
IL CONTE:                          C,OUNT:
"No, parta tosto.                   N","o, he goes immediately."
,
FIGARO:                            F,IGARO:
"Ehi, capitano,                     W","ell, captain,"
a me pure la mano;                 g,ive me your hand;
[piano a Cherubino]                [,aside to Cherubino]
io vo' parlarti                    I, want to speak to you
"pria che tu parta. Addio,          b","efore you go.  Farewell,"
picciolo Cherubino;                l,ittle Cherubino;
come cangia in un punto            h,ow your destiny has changed
il tuo destino.                    i,n a moment!
,
N. 10 Aria                         N,o. 10 Aria
,
FIGARO:                            F,IGARO:
"Non più andrai, farfallone         N","o more you'll wander, my amorous little"
"         amoroso,","  butterfly,"
notte e giorno d'intorno girando;  F,litting about by day and night
delle belle turbando il riposo     D,isturbing the rest of all those pretty women
"Narcisetto, Adoncino d'amor.       M","y little Narcissus, young Adonis of love"
Non più avrai questi bei           N,o more you'll have these pretty little
"pennacchini,","feathers,"
"quel cappello leggero e galante,   T","his smart and jaunty cap,"
"quella chioma, quell'aria brillante,", Those curls and that lively air
quel vermiglio donnesco color.     T,"hose rosy, girlish cheeks."
"Tra guerrieri, poffar Bacco!       A","mong soldiers, by Bacchus!"
"Gran mustacchi, stretto sacco.     G","reat moustaches, well-guarded knapsack"
"Schioppo in spalla, sciabla al     A"," gun at your shoulder, a sabre at your"
"     fianco,","side,"
"collo dritto, muso franco,         H","ead held high, bold of face"
"un gran casco, o un gran turbante, A"," great helmet, or a big turban,"
"molto onor, poco contante!         P","lenty of honour, but not much money,"
"Ed invece del fandango,            A",nd instead of the fandango
una marcia per il fango.           A, march through the mud!
"Per montagne, per valloni,         O","ver mountains, through the valleys"
con le nevi e i sollioni.          I,n the snow and burning sun
"Al concerto di tromboni,           T","o the music of trumpets,"
"di bombarde, di cannoni,           O",f shells and cannon-balls
che le palle in tutti i tuoni      W,histling past
all'orecchio fan fischiar.         M,aking your ear sing!
Cherubino alla vittoria:           C,"herubino, to victory"
alla gloria militar!               A,nd military glory!
[Partono tutti alla militare.]     [,Exeunt in military style.]
,
,
ATTO SECONDO                       A,CT TWO
,
Camera ricca con alcova            R,ichly furnished room with an alcove
e tre porte                        a,nd three doors; a window
,
SCENA I                            S,CENE I
La Contessa sola: poi Susanna e    T,he Countess alone: later Susanna;
poi Figaro                         l,ater Figaro
,
N. 11. Cavatina                    N,o. 11.  Cavatina
,
LA CONTESSA:                       C,OUNTESS:
"Porgi, amor, qualche ristoro       O"," Love, give me some remedy"
"al mio duolo, a' miei sospir.      F","or my pain, for my sighs!"
"O mi rendi il mio tesoro,          E",ither return my love to me
o mi lascia almen morir.           O,r at least let me die.
,
Recitativo                         R,ecitative
,
LA CONTESSA:                       C,OUNTESS:
"Vieni, cara Susanna,               C","ome, dear Susanna,"
finiscimi l'istoria!               f,inish the story for me!
,
SUSANNA:                           S,USANNA:
[entra]                            [,enters]
È già finita.                      I,t's already finished.
,
LA CONTESSA:                       C,OUNTESS:
Dunque volle sedurti?              S,o he tried to seduce you?
,
SUSANNA:                           S,USANNA:
"Oh, il signor Conte                O","h, our lord the Count"
non fa tai complimenti             d,oesn't pay such compliments
colle donne mie pari;              t,o women of my station;
egli venne a contratto di danari.  f,"or him, it was merely a financial transation."
,
LA CONTESSA:                       C,OUNTESS:
"Ah, il crudel più non m'ama!       A","h, the cruel man doesn't love me any more!"
,
SUSANNA:                           S,USANNA:
E come poi                         W,"ell, why then"
è geloso di voi?                   i,s he so jealous of you?
,
LA CONTESSA:                       C,OUNTESS:
Come lo sono                       T,hat's what
i moderni mariti: per sistema      h,usbands are like nowadays:
"infedeli, per genio capricciosi,   a","ll unfaithful, all capricious,"
e per orgoglio poi tutti gelosi.   a,nd all made jealous by their pride.
Ma se Figaro t'ama ...             B,ut if Figaro loves you ...
ei sol potria ...                  h,e alone can ...
,
FIGARO:                            F,IGARO:
[cantando entro la scena]          [,enters singing]
La la la ...                       L,a la la ...
,
SUSANNA:                           S,USANNA:
"Eccolo: vieni, amico.              H","ere he is: come here, my friend!"
Madama impaziente ...              M,adam's impatient ...
,
FIGARO:                            F,IGARO:
A voi non tocca                    Y,ou needn't
stare in pena per questo.          b,other yourself over this.
,
SUSANNA:                           S,USANNA:
Ed hai coraggio                    A,nd you have the heart
di trattar scherzando              t,o joke about
un negozio sì serio?               s,o serious a business?
,
,
FIGARO:                            F,IGARO:
Non vi basta                       I,sn't it enough for you
che scherzando io ci pensi?        t,hat I think while I jest?
Ecco il progetto:                  H,ere's the scheme:
per Basilio un biglietto           I, have sent him a letter by Basilio
io gli fi capitar che l'avvertisca w,hich tells of
di certo appuntamento              a, certain assignation
[alla Contessa]                    [,to the Countess]
che per l'ora del ballo            t,hat you gave a lover
a un amante voi deste ...          f,or the hour of the ball ...
,
LA CONTESSA:                       C,OUNTESS:
O ciel! Che sento!                 O,"h, heavens!  What are you saying!"
Ad un uom sì geloso! ...           T,o a man as jealous as he!
,
FIGARO:                            F,IGARO:
Ancora meglio.                     A,ll the better -
"Così potrem più presto imbarazzarlo,"," all the more quickly that we can embarrass him,"
"confonderlo, imbrogliarlo,         c","onfound him, embroil him,"
"rovesciargli i progetti,           u","pset his schemes,"
"empierlo di sospetti,              d","ispose of his suspicions,"
e porgli in testa                  a,nd make him know
che la moderna festa               t,hat this newfangled game
ch'ei di fare a me tenta           w,hich he's trying on me
altri a lui faccia;                c,an be turned back on him;
"onde qua perda il tempo,           s","o that he loses time,"
ivi la traccia.                    t,hat's the main thing.
,
SUSANNA:                           S,USANNA:
"È ver, ma in di lui vece           T","rue, but in his place"
s'opporrà Marcellina.              M,arcellina will step up against us.
,
FIGARO:                            F,IGARO:
Aspetta: al Conte                  A, moment: you'll tell the Count presently
"farai subito dir, che verso sera   t",hat towards evening
"attendati in giardino,             h",e should await you in the garden;
il picciol Cherubino               t,he little Cherubino
per mio consiglio                  (,"who, by my advice,"
non ancora partito                 h,asn't yet left)
"da femmina vestito,                w","ill be dressed as a woman,"
faremo che in sua vece ivi sen vada., and we'll put him there in the Count's way.
Questa è l'unica strada            T,his is the only way
onde monsù sorpreso da madama      w,"hereby Monsieur, surprised there by Madame"
sia costretto a far poi            c,an be forced to accede
quel che si brama.                 t,o her wishes.
,
LA CONTESSA:                       C,OUNTESS:
[a Susanna]                        [,to Susanna]
Che ti par?                        W,hat do you think?
,
SUSANNA:                           S,USANNA:
Non c'è mal.                       N,ot bad.
,
LA CONTESSA:                       C,OUNTESS:
Nel nostro caso ...                I,n our case ...
,
SUSANNA:                           S,USANNA:
Quand'egli è persuaso ...          W,hen he's made up his mind ...
e dove è il tempo?                 a,nd where will we find the time?
,
FIGARO:                            F,IGARO:
Ito è il Conte alla caccia;        T,"he Count's gone hunting,"
e per qualch'ora                   a,nd won't be back
non sarà di ritorno;               f,or some time;
io vado e tosto                    I,"'ll go, and quickly"
Cherubino vi mando; lascio a voi   s,end Cherubino to you; I'll leave to you two
la cura di vestirlo.               t,he care of his dressing.
,
,
LA CONTESSA:                       C,OUNTESS:
E poi? ...                         A,nd then?  ...
,
FIGARO:                            F,IGARO:
E poi ...                          A,nd then ...
"Se vuol ballare signor Contino,    I","f you want to dance, my dear little Count,"
il chitarrino le suonerò.          I,'ll play the tune for you on my guitar.
[parte]                            [,exit]
,
,
SCENA II                           S,CENE II
"La Contessa, Susanna, poi Cherubino","The Countess, Susanna, then Cherubino"
,
Recitativo                         R,ecitative
LA CONTESSA:                       C,OUNTESS:
"Quanto duolmi, Susanna,            I","'m not happy, Susanna,"
che questo giovinotto              t,hat this boy has heard
abbia del Conte                    t,he Count's extravagances.
le stravaganze udite! Ah tu non sai!," Ah, you don't know!  ..."
Ma per qual causa mai              B,ut why ever
Da me stessa ei non venne? ...     d,id he not come to me himself?  ...
Dov'è la canzonetta?               W,here's that little song?
,
SUSANNA:                           S,USANNA:
Eccola: appunto                    H,ere it is:
facciam che ce la canti.           W,e'll make him sing it.
"Zitto, vien gente! È desso:        H","ush, I hear someone!  It's him:"
"avanti, avanti,                    c","ome in, come in,"
signor uffiziale.                  S,enor Officer!
,
CHERUBINO:                         C,HERUBINO:
"Ah, non chiamarmi                  A","h, call me not"
con nome sì fatale! Ei mi rammenta b,y that fatal name!  It reminds me
che abbandonar degg'io             t,hat I must leave behind me
comare tanto buona ...             a, godmother so good ...
,
SUSANNA:                           S,USANNA:
E tanto bella!                     A,nd so beautiful!
,
CHERUBINO:                         C,HERUBINO:
Ah sì ... certo ...                A,h yes ...  indeed ...
,
SUSANNA:                           S,USANNA:
'Ah sì ... certo' ... Ipocritone!  ',Ah yes ...  indeed' ...  Little hypocrite!
Via presto la canzone              G,"o on, now - this little song"
che stamane a me deste             w,hich you gave to me this morning;
a madama cantate.                  s,ing it to my lady.
,
LA CONTESSA:                       C,OUNTESS:
Chi n'è l'autor?                   W,ho wrote it?
,
SUSANNA:                           S,USANNA:
[additando Cherubino]              [,indicating Cherubino]
Guardate: egli ha due braccia      L,ook how red he is.
di rossor sulla faccia.,
,
CHERUBINO:                         C,HERUBINO:
Io sono sì tremante ...            I,'m trembling ...
ma se madama vuole ...             B,ut if my lady desires it ...
,
SUSANNA:                           S,USANNA:
"Lo vuole, sì, lo vuol.             S","he desires it, of course she does."
Manco parole.                      E,nough talk!
,
,
,
N. 12. Arietta                     N,o. 12.  Arietta
,
CHERUBINO:                         C,HERUBINO:
"Voi che sapete che cosa è amor,    Y","ou, ladies, who know what love is,"
"donne, vedete s'io l'ho nel cor.   L",ook to see if I have it in my heart!
"Quello ch'io provo vi ridirò,      I","'ll tell you what I'm going through,"
"è per me nuovo, capir nol so.      I",t's new to me; I can't understand it.
"Sento un affetto pien di desir,    I", feel an warmth full of desire
"ch'ora è diletto, ch'ora è martir. T","hat now is pleasure, now is agony."
"Gelo e poi sento l'alma avvampar,  I"," freeze, and then feel my soul burning,"
e in un momento torno a gelar.     A,nd in another moment go back to freezing.
"Ricerco un bene fuori di me,       I", look for something beautiful outside of
," myself,"
"non so chi'l tiene, non so cos'è.  I"," don't know who has it, I don't know what it"
, is.
"Sospiro e gemo senza voler,        I"," sigh and groan without wanting to,"
palpito e tremo senza saper.       I," quiver and tremble without knowing it,"
"Non trovo pace notte né dì,        I"," find no peace night or day,"
ma pur mi piace languir così.      A,nd yet I like suffering this way!
"Voi che sapete che cosa è amor,    Y","ou, ladies, who know what love is,"
"donne, vedete s'io l'ho nel cor.   L",ook to see if I have it in my heart!
,
Recitativo                         R,ecitative
,
LA CONTESSA:                       C,OUNTESS:
Bravo! Che bella voce!             B,ravo!  What a beautiful voice!
Io non sapea                       I, didn't know
che cantaste sì bene.              t,hat you could sing so well.
,
SUSANNA:                           S,USANNA:
"Oh, in verità                      O","h, truly,"
egli fa tutto ben quello ch'ei fa. e,"verything that he does, he does well."
"Presto a noi, bel soldato.         A","nd now to us, pretty little soldier."
Figaro v'informò ...               F,igaro told you ...
,
CHERUBINO:                         C,HERUBINO:
Tutto mi disse.                    H,e told me everything.
,
SUSANNA:                           S,USANNA:
[si misura con Cherubino]          [,measuring herself against Cherubino]
Lasciatemi veder. Andrà benissimo! L,et me see.  That will do well!
Siam d'uguale statura ...          W,e're exactly the same height ...
giù quel manto.                    t,ake off your cloak.
[gli cava il manto]                [,removes his cloak]
,
LA CONTESSA:                       C,OUNTESS:
Che fai?                           W,hat are you doing?
,
SUSANNA:                           S,USANNA:
Niente paura.                      D,on't worry.
,
LA CONTESSA:                       C,OUNTESS:
E se qualcuno entrasse?            A,nd if someone comes in?
,
SUSANNA:                           S,USANNA:
"Entri, che mal facciamo?           L",et them; what harm are we doing?
Ma come poi acconciargli i cappelli?, But then what can we do with his hair?
,
LA CONTESSA:                       C,OUNTESS:
Una mia cuffia                     F,etch one of my bonnets
prendi nel gabinetto.              f,rom the cupboard.
Presto!                            Q,uickly!
,
[Susanna va nel gabinetto a pigliar,una cuffia: Cherubino si accosta alla
"Contessa, e gli lascia veder la pate",nte che terrà in petto: la Contessa la
"prende, l'apre e vede che manca il s",igillo.]
,
[Susanna goes into the cupboard to f,etch a bonnet: Cherubino sidles closer to
"the Countess, and shows her his comm","ission: she takes it, opens it and sees that it is"
unsealed.],
,
Che carta è quella?                W,hat is this paper?
,
CHERUBINO:                         C,HERUBINO:
La patente.                        M,y commission.
,
LA CONTESSA:                       C,OUNTESS:
Che sollecita gente!               H,ow thoughtful of them!
,
CHERUBINO:                         C,HERUBINO:
L'ebbi or da Basilio.              I, got it just now from Basilio.
,
LA CONTESSA:                       C,OUNTESS:
[gliela rende]                     [,gives it to him]
Dalla fretta                       I,"n their hurry,"
obliato hanno il sigillo.          t,hey've forgotten the seal.
,
SUSANNA:                           S,USANNA:
[sorte]                            [,coming out from cupboard]
Il sigillo di che?                 T,he seal of what?
,
LA CONTESSA:                       C,OUNTESS:
Della patente.                     T,o his commission.
,
SUSANNA:                           S,USANNA:
Cospetto! Che premura!             H,eavens!  What haste!
Ecco la cuffia.                    H,ere's the bonnet.
,
LA CONTESSA:                       C,OUNTESS:
Spicciati: va bene!                H,urry: good!
,
SUSANNA:                           S,USANNA:
Ma se ne sono io medesma gelosa;   I,'m almost jealous myself;
"ehi, serpentello,                  h","ey, you little serpent,"
volete tralasciar d'esser sì bello!,will you stop being so beautiful!
,
LA CONTESSA:                       C,OUNTESS:
Finiam le ragazzate:               S,top your games:
or quelle maniche                  n,ow pull those sleeves
"oltre il gomito gli alza,          u","p above his elbow,"
onde più agiatamente               s,o that the dress
l'abita gli si adatti.             w,ill fit him better.
,
SUSANNA:                           S,USANNA:
[eseguisce]                        [,pulling the sleeves up]
Ecco.                              H,ere.
,
LA CONTESSA:                       C,OUNTESS:
Più indietro.                      H,igher.
,
SUSANNA:                           S,USANNA:
Cospetto				     Heavens!,
Ha il braccio più candido del mio! H,is arm's whiter than mine!
Qualche ragazza ...                S,ome girl ...
,
LA CONTESSA:                       C,OUNTESS:
E segui a far la pazza?            A,nd you're still being silly?
"Va nel mio gabinettto,             G","o into my closet,"
e prendi un poco                   a,nd bring a little
d'inglese taffetà:                 E,nglish taffeta:
ch'è sullo scrigno:                i,t's on the casket:
,
CHERUBINO:                         C,HERUBINO:
Susanna scherza; 			     Susanna moc,ks me;
ed io frattanto parto..            a,nd I must so shortly leave her ...
,
LA CONTESSA:                       C,OUNTESS:
Poverin! Che sventura!             P,oor little thing!  What misfortune!
,
CHERUBINO:                         C,HERUBINO:
"Oh, me infelice!                   O","h, I'm so unhappy!"
,
LA CONTESSA:                       C,OUNTESS:
Or piange ...                      N,ow he's crying ...
,
CHERUBINO:                         C,HERUBINO:
Oh ciel! Perché morir non lice!    O,h heavens!  Why won’t death take me!
Forse vicino all'ultimo momento ...,"Perhaps now, so near to the final moment ..."
questa bocca ...                   t,hese lips ...
,
LA CONTESSA:                       C,OUNTESS:
Siate saggio; cos'è questa follia? B,e sensible; what is this nonsense?
[si sente picchiare alla porta.]   [,a knocking is heard at the door.]
Chi picchia alla mia porta?        W,ho's knocking at my door?
,
IL CONTE:                          C,OUNT:
[fuori della porta]                [,outside]
Perché è chiusa?                   W,hy's it locked?
,
LA CONTESSA:                       C,OUNTESS:
"Il mio sposo, oh Dei! Son morta!   M","y husband, oh God!  I'm finished!"
Voi qui senza mantello!            Y,"ou here, without your cloak!"
In quello stato!                   I,n this state!
Un ricevuto foglio ...             H,e'll have received that letter ...
la sua gran gelosia!               h,is overwhelming jealousy!
,
IL CONTE:                          C,OUNT:
Cosa indugiate?                    W,ho's in there with you?
,
LA CONTESSA:                       C,OUNTESS:
Son sola ... anzi son sola ...     O,"nly me ... that is, I'm alone ..."
,
IL CONTE:                          C,OUNT:
E a chi parlate?                   A,nd whom are you speaking to?
,
LA CONTESSA:                       C,OUNTESS:
A voi ... certo ...                T,o you ... of course ...
a voi stesso ...                   o,nly to you ...
,
CHERUBINO:                         C,HERUBINO:
"Dopo quel ch'è successo,           A","fter what happened,"
il suo furore ...                  h,is fury ...
non trovo altro consiglio!         t,here's no other way!
[entra nel gabinetto e chiude]     [,goes into the cupboard and shuts the door]
,
LA CONTESSA:                       C,OUNTESS:
[prende la chiave]                 [,takes the key]
"Ah, mi difenda il cielo            A","h, heaven defend me"
in tal periglio!                   i,n this danger!
[corre ad aprire al Conte]         [,runs to open the door for the Count]
,
SCENA III                          S,CENE III
La Contessa ed il Conte            T,he Countess and the Count
da cacciatore                      i,n hunting gear
,
IL CONTE:                          C,OUNT:
Che novità! Non fu mai             W,"ell, this is new!  It was never"
vostra usanza                      y,our normal practice
di rinchiudervi in stanza!         t,o lock yourself in your room!
,
LA CONTESSA:                       C,OUNTESS:
È ver; ma io ...                   Y,"es, but I -"
io stava qui mettendo ...          I, was trying ...
,
IL CONTE:                          C,OUNT:
"Via, mettendo ...                  G","o on, trying ..."
,
LA CONTESSA:                       C,OUNTESS:
 ... certe robe ...                .,.. some clothes on...
era meco la Susanna ...            S,usanna was with me ...
che in sua camera è andata.        s,he's gone into her room.
,
IL CONTE:                          C,OUNT:
Ad ogni modo                       I,"n all events,"
voi non siete tranquilla.          y,ou're not quite calm.
Guardate questo foglio!            L,ook at this paper!
,
LA CONTESSA:                       C,OUNTESS:
(Numi! È il foglio                 (,Gods!  It's the letter
che Figaro gli scrisse ... )       w,hich Figaro wrote to him ... )
"[Cherubino fa cadere un tavolino,  [",Cherubino knocks over a table
"ed una sedia in gabinetto,         a","nd chair in the cupboard,"
con molto strepito.]               m,aking a loud noise.]
,
IL CONTE:                          C,OUNT:
Cos'è codesto strepito?            W,hat's that racket?
In gabinetto qualche cosa è caduta.,Something's fallen over in your cupboard.
,
LA CONTESSA:                       C,OUNTESS:
Io non intesi niente.              I, didn't hear anything.
,
IL CONTE:                          C,OUNT:
Convien che abbiate                Y,ou must have something
i gran pensieri in mente.          w,"eighing very heavily on your mind, then."
,
LA CONTESSA:                       C,OUNTESS:
Di che?                            S,uch as?
,
IL CONTE:                          C,OUNT:
Là v'è qualchuno.                  T,here's someone in there!
,
LA CONTESSA:                       C,OUNTESS:
Chi volete che sia?                W,hom do you think?
,
IL CONTE:                          C,OUNT:
Io chiedo a voi.                   I,'m asking you that -
Io vengo in questo punto           I,’ve only just come in.
,
LA CONTESSA:                       C,OUNTESS:
"Ah sì, Susanna ... appunto ...     O","h, yes, Susanna ...  of course ..."
,
IL CONTE:                          C,OUNT:
Che passò mi diceste               O,h? She just went
alla sua stanza!                   i,"nto her room, you said!"
,
LA CONTESSA:                       C,OUNTESS:
"Alla sua stanza, o qui -           T","o her room, or here -"
non vidi bene ...                  I, wasn't watching closely ...
,
IL CONTE:                          C,OUNT:
Susanna! - E donde viene           S,usanna!  - And that's why
che siete sì turbata?              y,ou're so bothered?
,
LA CONTESSA:                       C,OUNTESS:
Per la mia cameriera?              A,bout my chambermaid?
,
IL CONTE:                          C,OUNT:
Io non so nulla;                   H,ow should I know?
ma turbata senz'altro.             b,ut you’re bothered indeed!
,
LA CONTESSA:                       C,OUNTESS:
"Ah, questa serva                   A","h, this maid"
più che non turba me               “,bothers” you
turba voi stesso.                  m,"ore than she does me, sir!"
,
IL CONTE:                          C,OUNT:
"È vero, è vero,                    T","rue, true,"
e lo vedrete adesso.               a,nd I’ll show you why!
,
[La Susanna entra per la porta ond'è," uscita, e si ferma vedendo il Conte, che"
dalla porta del gabinetto sta batten,do e gridando. Susanna si nasconde entro
l'alcova.],
,
[Susanna comes in through the door s,"he left by, and stops, seeing the Count, who"
"is shouting, pounding at the door of"," the cupboard.  She hides in the alcove,"
unseen by Count or Countess],
,
N. 14. Terzetto                    N,o. 14.  Trio
,
IL CONTE:                          C,OUNT:
"Susanna, or via, sortite,          S","usanna, now, come out of there,"
"sortite, io così vo'.              C","ome out, I order you."
,
LA CONTESSA:                       C,OUNTESS:
Fermatevi ... sentite ...          S,top it ...  listen to me ...
Sortire ella non può.              S,he can't come out.
,
SUSANNA:                           S,USANNA [aside]:
Cos'è codesta lite!                W,hat is this quarrel!
Il paggio dove andò!               W,here did the page go?
,
IL CONTE:                          C,OUNT:
E chi vietarlo or osa?             A,nd who dares to forbid her now?
,
LA CONTESSA:                       C,OUNTESS:
Lo vieta l'onestà.                 M,odesty forbids it.
Un abito da sposa                  S,he's trying on
provando ella si sta.              H,er wedding dress.
,
IL CONTE:                          C,OUNT [aside]:
Chiarissima è la cosa:             I,t's clear what's happening:
l'amante qui sarà.                 H,er lover's in there.
,
LA CONTESSA:                       C,OUNTESS [aside]:
"Bruttissima è la cosa,             T",his is horrible!
chi sa cosa sarà.                  W,ho knows what will happen?
,
SUSANNA:                           S,USANNA [aside]:
"Capisco qualche cosa,              I"," understand what's happened,"
veggiamo come va.                  W,e'll see how things go.
,
IL CONTE:                          C,OUNT:
Dunque parlate almeno.             W,"ell, speak up then,"
"Susanna, se qui siete ...          S",usanna - if you're there.
,
LA CONTESSA:                       C,OUNTESS:
"Nemmen, nemmen, nemmeno,           N","o, no, no, don't speak!"
io v'ordino: tacete.               I," order you both, be quiet!"
,
IL CONTE:                          C,OUNT:
"Consorte mia, giudizio,            B","e careful, my wife,"
"un scandalo, un disordine,         A"," scandal, a confusion,"
schiviam per carità!               i,s looming over us!
,
SUSANNA:                           S,USANNA:
"Oh cielo, un precipizio,           O","h heavens, a disgrace,"
"un scandalo, un disordine,         a"," scandal, a confusion,"
qui certo nascerà.                 w,ill come out of this for sure.
,
,
LA CONTESSA:                       C,OUNTESS:
"Consorte mio, giudizio,            B","e careful, my husband,"
"un scandalo, un disordine,         A"," scandal, a confusion,"
schiviam per carità!               i,s looming over us!
,
Recitativo                         R,ecitative
,
IL CONTE:                          C,OUNT:
Dunque voi non aprite?             T,hen you'll not open it?
,
LA CONTESSA:                       C,OUNTESS:
E perché degg'io                   A,nd why should I
le mie camere aprir?               o,pen my own rooms to you?
,
IL CONTE:                          C,OUNT:
"Ebben, lasciate,                   F","ine - leave it,"
l'aprirem senza chiavi.            I,'ll open it without keys.
"[chiamando] Ehi, gente!            [",calling]  You there!
,
LA CONTESSA:                       C,OUNTESS:
Come?                              W,hat?
Porreste a repentaglio             Y,ou'd play public games
d'una dama l'onore?                w,ith a lady's honour?
,
IL CONTE:                          C,OUNT:
"È vero, io sbaglio.                T",rue; I made a mistake.
"Posso senza rumore,                I"," can do it quietly,"
senza scandalo alcun di nostra gente, without scandal before our people
andar io stesso                    I,'ll go myself
a prender l'occorrente.            t,o fetch the tools.
"Attendete pur qui,                 Y",ou'll wait here;
ma perché in tutto                 b,ut to make sure
sia il mio dubbio distrutto        o,"f all my doubts,"
anco le porte io prima chiuderò.   I,'ll lock the doors first.
[chiude a chiave la porta che      [,locks the door leading into
conduce alle stanze delle          S,usanna and Figaro's room]
cameriere],
,
LA CONTESSA:                       C,OUNTESS:
(Che imprudenza!)                  (,What bad luck!)
,
